danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,class
0.54,0.76,10,-4.855,1,0.0943,0.228,0.000188,0.244,0.295,150,spotify:track:1jbguX18Gtjm0UwVsLRIFT,184320,4,good
0.588,0.727,9,-4.62,1,0.037,0.211,0,0.657,0.386,128.75,spotify:track:1bjFRZio15WLDDQy75JY2r,231227,4,good
0.678,0.414,9,-10.144,0,0.0498,0.366,0.00000378,0.0885,0.355,130.031,spotify:track:3Txcx4jhuiTZSvhAL0WaRc,243133,4,good
0.567,0.644,0,-7.005,1,0.0488,0.434,0.000319,0.463,0.34,108.061,spotify:track:0cQ5y2ycYOR7KrMG752t8Q,204933,4,good
0.583,0.707,10,-5.603,1,0.0348,0.276,0.0000165,0.0922,0.37,122.141,spotify:track:4kZo3Ykh85Sfd2XMmOimsB,213725,4,good
0.637,0.504,5,-4.121,1,0.0798,0.00135,0.000563,0.0688,0.737,135.267,spotify:track:398yyQgNK4gUDUONBlQOYa,183956,3,good
0.714,0.725,4,-6.411,1,0.0402,0.0156,0,0.0726,0.59,99.988,spotify:track:6ihL9TjfRjadfEePzXXyVF,213107,4,good
0.735,0.873,2,-7.372,0,0.244,0.16,0.0000485,0.25,0.38,149.888,spotify:track:3UYhSPI2lVFfbnC6usruPj,187547,4,good
0.74,0.716,6,-5.796,0,0.0609,0.207,0.00000351,0.0926,0.804,117.977,spotify:track:0Vwfd6fxFrL3kCnZSJ9vid,245933,4,good
0.42,0.333,4,-9.366,1,0.0486,0.749,0.0000218,0.11,0.149,114.935,spotify:track:6pm60Fv613rRWDDWf8SH3y,253208,4,good
0.456,0.373,1,-9.441,0,0.0255,0.86,0.0347,0.086,0.105,89.962,spotify:track:02WdKVFWHoEB7NvhhWK1iJ,255716,4,good
0.616,0.334,1,-8.992,1,0.0303,0.956,0.0000145,0.0908,0.434,132.788,spotify:track:53tWgMGtefMvF6KIwY3kM9,196702,4,good
0.266,0.302,0,-10.159,1,0.0331,0.881,0.00428,0.128,0.147,124.733,spotify:track:1lKDEPX8WtSpospLT01asL,341049,3,good
0.763,0.515,0,-8.967,1,0.0268,0.836,0.0000534,0.208,0.808,114.021,spotify:track:3RJ94M75AJUntn8Zj5NLgR,205373,4,good
