danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68,spotify:track:7sDzAu7alAL1hWvL86tSGB,191560,4,1
0.439,0.469,9,-9.283,1,0.0311,0.395,0.573,0.183,0.193,127.44,spotify:track:7DDRPKLKFIvDbNSQmnz19Y,475093,4,1
0.619,0.78,9,-7.469,1,0.0415,0.0972,0.41,0.122,0.828,114.995,spotify:track:3KXcoBUIpRSaCUMFFNMs8m,274480,4,1
0.709,0.643,10,-5.324,1,0.0385,0.0504,0.0000368,0.283,0.666,103.999,spotify:track:3teZIUI17QEm8Er5wzSHMx,206007,4,1
0.54,0.76,10,-4.855,1,0.0943,0.228,0.000188,0.244,0.295,150,spotify:track:1jbguX18Gtjm0UwVsLRIFT,184320,4,1
0.588,0.727,9,-4.62,1,0.037,0.211,0,0.657,0.386,128.75,spotify:track:1bjFRZio15WLDDQy75JY2r,231227,4,1
0.678,0.414,9,-10.144,0,0.0498,0.366,0.00000378,0.0885,0.355,130.031,spotify:track:3Txcx4jhuiTZSvhAL0WaRc,243133,4,1
0.567,0.644,0,-7.005,1,0.0488,0.434,0.000319,0.463,0.34,108.061,spotify:track:0cQ5y2ycYOR7KrMG752t8Q,204933,4,1
0.583,0.707,10,-5.603,1,0.0348,0.276,0.0000165,0.0922,0.37,122.141,spotify:track:4kZo3Ykh85Sfd2XMmOimsB,213725,4,1
0.637,0.504,5,-4.121,1,0.0798,0.00135,0.000563,0.0688,0.737,135.267,spotify:track:398yyQgNK4gUDUONBlQOYa,183956,3,1
0.714,0.725,4,-6.411,1,0.0402,0.0156,0,0.0726,0.59,99.988,spotify:track:6ihL9TjfRjadfEePzXXyVF,213107,4,1
0.735,0.873,2,-7.372,0,0.244,0.16,0.0000485,0.25,0.38,149.888,spotify:track:3UYhSPI2lVFfbnC6usruPj,187547,4,1
0.74,0.716,6,-5.796,0,0.0609,0.207,0.00000351,0.0926,0.804,117.977,spotify:track:0Vwfd6fxFrL3kCnZSJ9vid,245933,4,1
